"date","store","item","sales"
"1/3/13","1","TShirt","14"
"1/6/13","1","TShirt","12"
"1/9/13","1","TShirt","12"
"1/12/13","1","TShirt","7"
"1/15/13","1","TShirt","5"
"1/18/13","1","TShirt","7"
"1/21/13","1","TShirt","8"
"1/24/13","1","TShirt","8"
"1/27/13","1","TShirt","12"
"1/30/13","1","TShirt","9"
"2/2/13","1","TShirt","21"
"2/5/13","1","TShirt","9"
"2/8/13","1","TShirt","11"
"2/11/13","1","TShirt","16"
"2/14/13","1","TShirt","10"
"2/17/13","1","TShirt","11"
"2/20/13","1","TShirt","7"
"2/23/13","1","TShirt","15"
"2/26/13","1","TShirt","9"
"3/1/13","1","TShirt","15"
"3/4/13","1","TShirt","14"
"3/7/13","1","TShirt","11"
"3/10/13","1","TShirt","11"
"3/13/13","1","TShirt","13"
"3/16/13","1","TShirt","10"
"3/19/13","1","TShirt","19"
"3/22/13","1","TShirt","21"
"3/25/13","1","TShirt","13"
"3/28/13","1","TShirt","13"
"3/31/13","1","TShirt","20"
"4/3/13","1","TShirt","24"
"4/6/13","1","TShirt","23"
"4/9/13","1","TShirt","13"
"4/12/13","1","TShirt","18"
"4/15/13","1","TShirt","14"
"4/18/13","1","TShirt","21"
"4/21/13","1","TShirt","20"
"4/24/13","1","TShirt","13"
"4/27/13","1","TShirt","22"
"4/30/13","1","TShirt","15"
"5/3/13","1","TShirt","22"
"5/6/13","1","TShirt","14"
"5/9/13","1","TShirt","11"
"5/12/13","1","TShirt","13"
"5/15/13","1","TShirt","16"
"5/18/13","1","TShirt","20"
"5/21/13","1","TShirt","24"
"5/24/13","1","TShirt","24"
"5/27/13","1","TShirt","7"
"5/30/13","1","TShirt","19"
"6/2/13","1","TShirt","22"
"6/5/13","1","TShirt","24"
"6/8/13","1","TShirt","20"
"6/11/13","1","TShirt","18"
"6/14/13","1","TShirt","22"
"6/17/13","1","TShirt","13"
"6/20/13","1","TShirt","24"
"6/23/13","1","TShirt","24"
"6/26/13","1","TShirt","21"
"6/29/13","1","TShirt","20"
"7/2/13","1","TShirt","17"
"7/5/13","1","TShirt","17"
"7/8/13","1","TShirt","20"
"7/11/13","1","TShirt","25"
"7/14/13","1","TShirt","29"
"7/17/13","1","TShirt","16"
"7/20/13","1","TShirt","25"
"7/23/13","1","TShirt","17"
"7/26/13","1","TShirt","31"
"7/29/13","1","TShirt","8"
"8/1/13","1","TShirt","21"
"8/4/13","1","TShirt","26"
"8/7/13","1","TShirt","25"
"8/10/13","1","TShirt","22"
"8/13/13","1","TShirt","11"
"8/16/13","1","TShirt","15"
"8/19/13","1","TShirt","11"
"8/22/13","1","TShirt","20"
"8/25/13","1","TShirt","23"
"8/28/13","1","TShirt","20"
"8/31/13","1","TShirt","25"
"9/3/13","1","TShirt","16"
"9/6/13","1","TShirt","20"
"9/9/13","1","TShirt","15"
"9/12/13","1","TShirt","14"
"9/15/13","1","TShirt","14"
"9/18/13","1","TShirt","18"
"9/21/13","1","TShirt","13"
"9/24/13","1","TShirt","14"
"9/27/13","1","TShirt","22"
"9/30/13","1","TShirt","20"
"10/3/13","1","TShirt","14"
"10/6/13","1","TShirt","20"
"10/9/13","1","TShirt","14"
"10/12/13","1","TShirt","17"
"10/15/13","1","TShirt","15"
"10/18/13","1","TShirt","10"
"10/21/13","1","TShirt","13"
"10/24/13","1","TShirt","17"
"10/27/13","1","TShirt","14"
"10/30/13","1","TShirt","20"
"11/2/13","1","TShirt","24"
"11/5/13","1","TShirt","20"
"11/8/13","1","TShirt","22"
"11/11/13","1","TShirt","16"
"11/14/13","1","TShirt","9"
"11/17/13","1","TShirt","17"
"11/20/13","1","TShirt","17"
"11/23/13","1","TShirt","31"
"11/26/13","1","TShirt","25"
"11/29/13","1","TShirt","19"
"12/2/13","1","TShirt","8"
"12/5/13","1","TShirt","13"
"12/8/13","1","TShirt","17"
"12/11/13","1","TShirt","7"
"12/14/13","1","TShirt","16"
"12/17/13","1","TShirt","8"
"12/20/13","1","TShirt","13"
"12/23/13","1","TShirt","8"
"12/26/13","1","TShirt","16"
"12/29/13","1","TShirt","14"
"1/1/14","1","TShirt","9"
"1/4/14","1","TShirt","20"
"1/7/14","1","TShirt","11"
"1/10/14","1","TShirt","12"
"1/13/14","1","TShirt","12"
"1/16/14","1","TShirt","15"
"1/19/14","1","TShirt","12"
"1/22/14","1","TShirt","21"
"1/25/14","1","TShirt","21"
"1/28/14","1","TShirt","6"
"1/31/14","1","TShirt","18"
"2/3/14","1","TShirt","10"
"2/6/14","1","TShirt","17"
"2/9/14","1","TShirt","18"
"2/12/14","1","TShirt","9"
"2/15/14","1","TShirt","20"
"2/18/14","1","TShirt","11"
"2/21/14","1","TShirt","16"
"2/24/14","1","TShirt","7"
"2/27/14","1","TShirt","10"
"3/2/14","1","TShirt","15"
"3/5/14","1","TShirt","18"
"3/8/14","1","TShirt","14"
"3/11/14","1","TShirt","14"
"3/14/14","1","TShirt","16"
"3/17/14","1","TShirt","19"
"3/20/14","1","TShirt","21"
"3/23/14","1","TShirt","25"
"3/26/14","1","TShirt","17"
"3/29/14","1","TShirt","18"
"4/1/14","1","TShirt","19"
"4/4/14","1","TShirt","17"
"4/7/14","1","TShirt","19"
"4/10/14","1","TShirt","18"
"4/13/14","1","TShirt","22"
"4/16/14","1","TShirt","20"
"4/19/14","1","TShirt","22"
"4/22/14","1","TShirt","12"
"4/25/14","1","TShirt","22"
"4/28/14","1","TShirt","15"
